nduo-6,ndfl-4,nduo-1,atp-6,nduo-2,ctb-1,ctc-3,nduo-4,ctc-1,ctc-2,nduo-3,nduo-5,frm-5.2,Y38C1AB.5,trpl-4,Y38C1AB.3,Y38C1AB.7,trpl-3,frm-5.1,Y38C1AB.1
6,0,1,8,3,5,9,3,5,5,1,4,0,0,0,0,0,0,0,0
20,0,7,18,0,5,18,2,3,19,0,1,0,0,0,0,0,0,0,0
36,0,16,31,1,13,29,3,7,21,1,3,0,0,0,0,0,0,0,0
27,1,15,51,5,16,38,6,17,19,0,7,0,0,0,0,0,0,0,0
5,0,3,9,0,0,3,2,4,8,0,1,0,0,0,0,0,0,0,0
4,0,0,0,2,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0
72,0,38,76,9,17,49,11,31,39,6,8,0,0,0,0,0,0,0,0
8,0,3,3,1,1,4,1,8,4,0,2,0,0,0,0,0,0,0,0
17,0,10,17,2,11,18,2,18,11,0,4,0,0,0,0,0,0,0,0
12,0,6,9,2,2,12,0,3,12,0,3,0,0,0,0,0,0,0,0
10,0,4,10,2,5,8,1,3,8,0,2,0,0,0,0,0,0,0,0
12,0,9,6,0,4,12,3,7,10,0,0,0,0,0,0,0,0,0,0
3,0,2,7,0,6,10,2,3,7,0,2,0,0,0,0,0,0,1,0
4,0,6,5,2,3,4,2,8,4,0,1,0,0,0,0,0,0,0,0
8,0,5,13,1,4,11,2,0,3,1,2,0,0,0,0,0,0,0,0
11,0,1,3,0,2,8,0,1,6,0,0,0,0,0,0,0,0,0,0
2,0,0,4,1,2,2,1,6,1,0,0,0,0,0,0,0,0,0,0
21,3,14,37,3,12,33,9,11,14,1,4,0,0,0,0,0,0,0,0
26,1,8,20,2,4,16,0,5,15,0,1,0,0,0,0,0,0,0,0
16,0,7,14,2,4,25,2,11,12,0,2,0,0,0,0,0,0,0,0
29,1,9,22,4,11,15,10,23,16,1,4,0,1,0,0,0,0,0,0
3,0,2,4,0,2,4,1,1,3,0,2,0,0,0,0,0,0,0,0
39,2,25,94,5,15,65,3,16,28,1,5,0,0,0,0,0,0,1,0
5,0,3,6,1,4,12,4,10,7,0,5,0,0,0,0,0,0,0,0
7,0,2,7,0,2,7,0,8,5,1,0,0,0,0,0,0,0,0,0
5,1,1,10,0,5,7,2,3,7,0,1,0,0,0,0,0,0,0,0
3,0,1,3,0,2,2,1,6,4,0,0,0,0,0,0,0,0,0,0
69,2,48,91,5,25,57,13,21,48,0,13,0,0,0,0,0,0,1,0
10,0,6,10,0,2,18,0,2,4,0,1,0,0,0,0,0,0,0,0
